company_id,year,previous_pattern,current_pattern
ITC,Mar 2015,Reinvestor,Shareholder Returns
ITC,Mar 2019,Shareholder Returns,Reinvestor
ITC,Mar 2021,Reinvestor,Liquidating Assets
ITC,Mar 2022,Liquidating Assets,Shareholder Returns
ITC,Mar 2023,Shareholder Returns,Reinvestor
ITC,Mar 2024,Reinvestor,Liquidating Assets
JINDALSTEL,Mar 2016,Mixed,Reinvestor
JINDALSTEL,Mar 2021,Reinvestor,Shareholder Returns
JINDALSTEL,Mar 2024,Shareholder Returns,Mixed
JIOFIN,Mar 2024,Shareholder Returns,Other
JSWENERGY,Mar 2020,Shareholder Returns,Liquidating Assets
JSWENERGY,Mar 2021,Liquidating Assets,Shareholder Returns
JSWENERGY,Mar 2023,Shareholder Returns,Mixed
JSWSTEEL,Mar 2014,Shareholder Returns,Mixed
JSWSTEEL,Mar 2015,Mixed,Shareholder Returns
JSWSTEEL,Mar 2016,Shareholder Returns,Reinvestor
JSWSTEEL,Mar 2017,Reinvestor,Shareholder Returns
JSWSTEEL,Mar 2019,Shareholder Returns,Mixed
JSWSTEEL,Mar 2021,Mixed,Shareholder Returns
KOTAKBANK,Mar 2014,Mixed,Shareholder Returns
KOTAKBANK,Mar 2015,Shareholder Returns,Mixed
KOTAKBANK,Mar 2018,Mixed,Growth Funded by Debt
KOTAKBANK,Mar 2019,Growth Funded by Debt,Mixed
KOTAKBANK,Mar 2020,Mixed,Shareholder Returns
KOTAKBANK,Mar 2021,Shareholder Returns,Reinvestor
KOTAKBANK,Mar 2022,Reinvestor,Mixed
KOTAKBANK,Mar 2023,Mixed,Growth Funded by Debt
KOTAKBANK,Mar 2024,Growth Funded by Debt,Mixed
LICI,Mar 2020,Liquidating Assets,Shareholder Returns
LICI,Mar 2021,Shareholder Returns,Liquidating Assets
LICI,Mar 2022,Liquidating Assets,Distress Signal
LICI,Mar 2023,Distress Signal,Shareholder Returns
LICI,Mar 2024,Shareholder Returns,Reinvestor
LODHA,Mar 2017,Mixed,Shareholder Returns
LODHA,Mar 2018,Shareholder Returns,Mixed
LODHA,Mar 2019,Mixed,Growth Funded by Debt
LODHA,Mar 2020,Growth Funded by Debt,Liquidating Assets
LODHA,Mar 2024,Liquidating Assets,Mixed
LT,Mar 2017,Growth Funded by Debt,Mixed
LT,Mar 2018,Mixed,Distress Signal
LT,Mar 2019,Distress Signal,Growth Funded by Debt
LT,Mar 2020,Growth Funded by Debt,Mixed
LT,Mar 2021,Mixed,Shareholder Returns
LT,Mar 2024,Shareholder Returns,Liquidating Assets
LTIM,Mar 2014,Shareholder Returns,Liquidating Assets
LTIM,Mar 2015,Liquidating Assets,Reinvestor
LTIM,Mar 2016,Reinvestor,Shareholder Returns
LTIM,Mar 2018,Shareholder Returns,Reinvestor
LTIM,Mar 2020,Reinvestor,Shareholder Returns
LTIM,Mar 2022,Shareholder Returns,Reinvestor
LTIM,Mar 2024,Reinvestor,Shareholder Returns
M&M,Mar 2015,Growth Funded by Debt,Mixed
M&M,Mar 2019,Mixed,Growth Funded by Debt
M&M,Mar 2021,Growth Funded by Debt,Mixed
M&M,Mar 2022,Mixed,Shareholder Returns
M&M,Mar 2023,Shareholder Returns,Growth Funded by Debt
MARUTI,Mar 2019,Shareholder Returns,Reinvestor
MARUTI,Mar 2021,Reinvestor,Shareholder Returns
MARUTI,Mar 2022,Shareholder Returns,Reinvestor
MARUTI,Mar 2023,Reinvestor,Shareholder Returns
MOTHERSON,Mar 2015,Shareholder Returns,Mixed
MOTHERSON,Mar 2016,Mixed,Shareholder Returns
MOTHERSON,Mar 2017,Shareholder Returns,Mixed
MOTHERSON,Mar 2018,Mixed,Shareholder Returns
MOTHERSON,Mar 2024,Shareholder Returns,Mixed
NAUKRI,Mar 2014,Reinvestor,Mixed
NAUKRI,Mar 2016,Mixed,Reinvestor
NAUKRI,Mar 2020,Reinvestor,Liquidating Assets
NAUKRI,Mar 2021,Liquidating Assets,Mixed
NESTLEIND,Dec 2019,Shareholder Returns,Liquidating Assets
NESTLEIND,Dec 2020,Liquidating Assets,Shareholder Returns
NHPC,Mar 2014,Reinvestor,Shareholder Returns
NHPC,Mar 2020,Shareholder Returns,Mixed
NHPC,Mar 2021,Mixed,Shareholder Returns
NTPC,Mar 2014,Mixed,Shareholder Returns
NTPC,Mar 2017,Shareholder Returns,Mixed
NTPC,Mar 2021,Mixed,Shareholder Returns
ONGC,Mar 2014,Shareholder Returns,Mixed
ONGC,Mar 2015,Mixed,Shareholder Returns
ONGC,Mar 2018,Shareholder Returns,Mixed
ONGC,Mar 2019,Mixed,Shareholder Returns
PFC,Mar 2015,Distress Signal,Growth Funded by Debt
PFC,Mar 2017,Growth Funded by Debt,Mixed
PFC,Mar 2018,Mixed,Distress Signal
PFC,Mar 2019,Distress Signal,Growth Funded by Debt
PFC,Mar 2021,Growth Funded by Debt,Distress Signal
PFC,Mar 2022,Distress Signal,Reinvestor
PFC,Mar 2023,Reinvestor,Growth Funded by Debt
PIDILITIND,Mar 2014,Shareholder Returns,Reinvestor
PIDILITIND,Mar 2015,Reinvestor,Shareholder Returns
PIDILITIND,Mar 2017,Shareholder Returns,Mixed
PIDILITIND,Mar 2018,Mixed,Liquidating Assets
PIDILITIND,Mar 2019,Liquidating Assets,Reinvestor
PIDILITIND,Mar 2020,Reinvestor,Liquidating Assets
PIDILITIND,Mar 2021,Liquidating Assets,Shareholder Returns
PIDILITIND,Mar 2022,Shareholder Returns,Reinvestor
PIDILITIND,Mar 2023,Reinvestor,Shareholder Returns
PNB,Mar 2014,Pre-Revenue,Mixed
PNB,Mar 2017,Mixed,Liquidating Assets
PNB,Mar 2018,Liquidating Assets,Distress Signal
PNB,Mar 2019,Distress Signal,Growth Funded by Debt
PNB,Mar 2021,Growth Funded by Debt,Mixed
PNB,Mar 2024,Mixed,Growth Funded by Debt
POWERGRID,Mar 2019,Mixed,Shareholder Returns
POWERGRID,Mar 2022,Shareholder Returns,Liquidating Assets
POWERGRID,Mar 2023,Liquidating Assets,Shareholder Returns
RECLTD,Mar 2016,Distress Signal,Growth Funded by Debt
RECLTD,Mar 2017,Growth Funded by Debt,Shareholder Returns
RECLTD,Mar 2018,Shareholder Returns,Distress Signal
RECLTD,Mar 2022,Distress Signal,Growth Funded by Debt
RELIANCE,Mar 2016,Mixed,Shareholder Returns
RELIANCE,Mar 2017,Shareholder Returns,Mixed
RELIANCE,Mar 2018,Mixed,Shareholder Returns
RELIANCE,Mar 2019,Shareholder Returns,Mixed
RELIANCE,Mar 2020,Mixed,Shareholder Returns
RELIANCE,Mar 2021,Shareholder Returns,Mixed
RELIANCE,Mar 2024,Mixed,Shareholder Returns
SBILIFE,Mar 2014,Shareholder Returns,Reinvestor
SBILIFE,Mar 2015,Reinvestor,Shareholder Returns
SBILIFE,Mar 2021,Shareholder Returns,Mixed
SBILIFE,Mar 2022,Mixed,Shareholder Returns
SBIN,Mar 2014,Shareholder Returns,Mixed
SBIN,Mar 2015,Mixed,Shareholder Returns
SBIN,Mar 2016,Shareholder Returns,Mixed
SBIN,Mar 2017,Mixed,Reinvestor
SBIN,Mar 2018,Reinvestor,Distress Signal
SBIN,Mar 2019,Distress Signal,Cash Accumulator
SBIN,Mar 2020,Cash Accumulator,Mixed
SBIN,Mar 2022,Mixed,Shareholder Returns
SBIN,Mar 2023,Shareholder Returns,Growth Funded by Debt
SBIN,Mar 2024,Growth Funded by Debt,Reinvestor
SHREECEM,Mar 2016,Shareholder Returns,Reinvestor
SHREECEM,Mar 2017,Reinvestor,Shareholder Returns
SHREECEM,Mar 2018,Shareholder Returns,Mixed
SHREECEM,Mar 2019,Mixed,Shareholder Returns
SHREECEM,Mar 2020,Shareholder Returns,Mixed
SHREECEM,Mar 2021,Mixed,Shareholder Returns
