company_id,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,revenue_flag_3yr,revenue_flag_5yr,revenue_flag_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,pat_flag_3yr,pat_flag_5yr,pat_flag_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,eps_flag_3yr,eps_flag_5yr,eps_flag_10yr
SIEMENS,19.0,11.19,7.61,OK,OK,OK,35.65,19.85,16.25,OK,OK,OK,34.84,19.64,16.15,OK,OK,OK
SUNPHARMA,13.13,10.78,11.67,OK,OK,OK,61.72,24.54,9.5,OK,OK,OK,49.38,29.46,10.31,OK,OK,OK
TATACONSUM,9.44,15.96,6.99,OK,OK,OK,9.32,21.6,9.07,OK,OK,OK,10.06,14.87,5.54,OK,OK,OK
TATAMOTORS,20.58,7.72,6.52,OK,OK,OK,,,8.51,TURNAROUND,TURNAROUND,OK,,,6.95,TURNAROUND,TURNAROUND,OK
TATAPOWER,23.4,15.51,5.57,OK,OK,OK,43.81,10.43,79.98,OK,OK,OK,44.22,5.92,,OK,OK,TURNAROUND
TATASTEEL,13.61,7.77,4.43,OK,OK,OK,,,,DECLINE_TO_LOSS,DECLINE_TO_LOSS,DECLINE_TO_LOSS,,,,DECLINE_TO_LOSS,DECLINE_TO_LOSS,DECLINE_TO_LOSS
TCS,13.63,10.46,11.4,OK,OK,OK,12.29,7.87,9.08,OK,OK,OK,13.01,8.62,9.99,OK,OK,OK
TECHM,11.16,8.4,10.71,OK,OK,OK,-18.04,-10.99,-2.42,OK,OK,OK,-19.5,-11.42,-2.84,OK,OK,OK
TITAN,33.14,20.9,16.68,OK,OK,OK,53.11,20.27,16.88,OK,OK,OK,52.48,19.51,17.16,OK,OK,OK
TORNTPHARM,10.25,6.93,9.9,OK,OK,OK,9.77,30.59,9.57,OK,OK,OK,9.82,30.39,9.37,OK,OK,OK
TRENT,68.36,36.31,18.16,OK,OK,OK,,73.11,,TURNAROUND,OK,TURNAROUND,,69.52,,TURNAROUND,OK,TURNAROUND
TVSMOTOR,26.32,14.19,16.66,OK,OK,OK,43.03,19.67,25.27,OK,OK,OK,40.43,19.14,24.57,OK,OK,OK
